time_stamp,name,ballots_cast,total_voters,voter_turnout,ballots_completed_percentage,precincts_reported,precincts_participating,precincts_reported_percent,ballots_ready,ballots_remaining,earlies_remaining,prov_remaining
2022-11-08T20:36:19.397,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:36:19.397,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T20:36:19.397,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T20:36:19.397,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:36:19.397,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:36:19.397,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:36:19.397,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:36:19.397,Pima,191863,639885,29.98,0,0,278,0,0,0,0,0
2022-11-08T20:36:19.397,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:36:19.397,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T20:36:19.397,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:36:19.397,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T20:57:55.23,State,1336468,4143929,29.43,0,980,1734,25.59,0,0,0,0
2022-11-08T20:57:55.23,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:57:55.23,Cochise,22790,77394,29.45,0,0,55,0,0,0,0,0
2022-11-08T20:57:55.23,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:57:55.23,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:57:55.23,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T20:57:55.23,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T20:57:55.23,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:57:55.23,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:57:55.23,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:57:55.23,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:57:55.23,Pima,191863,639885,29.98,0,0,278,0,0,0,0,0
2022-11-08T20:57:55.23,Pinal,40144,262694,15.28,0,0,109,0,0,0,0,0
